Timestamp,Computer,Fav_Color,Sleep_Hrs,Fav_Sport,Age_in_months,Outdoor_Time,Hair_Color,Ideal_Temp,Phone_Time,Age_Diff_Parents,Music_Genre,Num_States,Fav_Season,Bfast_Amount,Summer
2024/07/15 10:24:20 AM AST,Mac,Navy,8,Baseball,284,2,Brown,76,4,3,Alternative,29,Fall,3,Swimmingly
2024/07/15 10:25:23 AM AST,Mac,green,7,soccer,268,2,brown,75,4.5,2,country,12,Spring,$3 ,exciting
2024/07/15 10:25:52 AM AST,Mac,Blue,8,Formula 1,257,3,Black,75,4,12 months,R&B,5,Winter,$5 ,Good
2024/07/15 10:26:05 AM AST,PC,Blue,7,Soccer ,273,2,Black,65,4,1,Pop,20,Fall,0,Good
2024/07/15 10:26:06 AM AST,PC,Red,7,Soccer,26,3,Brown,75,3,6,Rock,4,Summer,5,Adventurous 
2024/07/15 10:26:09 AM AST,PC,blue,7,football,259,2,brown,70,7,2,pop,10,Fall,$1 ,solid
2024/07/15 10:26:24 AM AST,PC,Green,7-Jun,Football/Basketball,301,1,Black,68,4,2,,14,Winter,,Good
2024/07/15 10:26:33 AM AST,PC,Glow in the Dark,6,Basketball ,264,1,Black,80,4,1,Reggae ,16,Summer,0,Supercalifragalisticexpealidotious
2024/07/15 10:26:38 AM AST,PC,Green,7,Tennis,266,0.5,Brown,82,4,1,EDM,22,Winter,$2 ,Well
2024/07/15 10:26:43 AM AST,Mac,Blue,6,Cricket,265,2,Black,69,6,3,Alternative,30,Fall,$3 ,fast
2024/07/15 10:26:44 AM AST,Mac,crimson,7.5,football,308,1,brown,72,5.25,13,experimental hip-hop,47,Fall,$8 ,fine
2024/07/15 10:26:48 AM AST,PC,Blue,7,Rugby,286,5,Brown,85,2,0,Country,14,Spring,5,Great
2024/07/15 10:26:56 AM AST,Mac,dark green,7,soccer,273,1,dark brown,75,4,7,arabic ,15,Fall,2.5,busy
